A ESTRUTURA TEM AS SEGUINTES INFORMAÇÕES: 
tempo de compilação: 102628134 nanosegundos
números de comparações de chaves: 77786
número de colisões: 4259

Palavra                          Frequencia
cousins                          1
cover                            4
cover-they                       1
covered                          12
covering                         2
coverings                        1
cow                              1
cow-shed                         1
crabbed                          4
crash                            2
craven                           106
cravenll                         1
cravens                          6
cravens-but                      1
crawford                         6
crazy                            5
cream                            4
created                          3
creating                         4
creation                         1
creature                         12
creature-and                     1
creatures                        24
creatures-and                    1
creatures-instead                1
credit                           3
crediting                        1
creep                            2
creepers                         1
creeping                         5
creeping-and                     1
crep                             1
crêpe                            1
crept                            9
crevice                          1
crevices                         1
cried                            62
cries                            2
crime                            1
crimson                          1
cripple                          4
cripple-his                      1
crippled                         1
critical                         2
crocuses                         8
crooked                          8
crookedness                      1
cross                            16
cross-legged                     3
crossed                          2
crosser                          2
crossin                          1
crossly                          3
crossness                        1
crow                             13
crowd                            2
crowded                          3
crowding                         2
crown                            1
crows                            1
cruel                            1
crumbled                         1
crumbs                           1
crumpet                          1
crumpets                         1
crushed                          1
crust                            1
crustily                         1
crusty                           1
cry                              12
cryin                            1
crying                           31
crying-and                       1
crying-poor                      1
crying-there                     3
crystal                          2
cub                              5
cubs                             2
cuddled                          1
cum                              1
cup                              3
cups                             1
cure                             1
curiosity                        7
curiosityhowever                 1
curious                          30
curious-bless                    1
curiousest                       1
curiously                        10
curiousness                      2
curled                           2
curly                            3
currant                          2
currants                         1
current                          1
curtain                          14
curtains                         2
curtsies                         2
curtsy                           1
curved                           2
curving                          4
cushion                          9
cushioned                        3
cushions                         6
custom                           5
cut                              9
d                                1
daffodils                        3
daffydowndillys                  3
damage                           2
damaged                          1
damages                          4
damp                             3
dance                            2
danced                           3
dancing                          1
dang                             1
danged                           1
danger                           1
dangerous                        5
dangerously                      1
dappling                         1
dare                             13
dared                            11
darent                           8
dares                            1
dark                             25
darkest                          1
darkness                         5
darling                          1
darted                           2
dartin                           1
darting                          1
dash                             1
dashed                           2
dashing                          1
data                             1
date                             3
dated                            1
daughter                         4
daughters                        1
dawn-time                        1
dawning                          1
day                              101
day-and                          1
daylight                         2
days                             36
daytime                          1
dead                             33
deadness                         1
deal                             25
dear                             7
death                            7
decide                           1
decided                          5
decision                         1
declared                         1
deductible                       1
deep                             19
deepened                         1
deepening                        2
deeper                           5
deeply                           1
defect                           3
defective                        3
defects                          1
defiantly                        1
deformed                         1
defy                             1
defying                          1
del-phin-iums                    1
deletions                        1
delicate                         9
delicately                       3
delicatest                       1
delicious                        1
deliciously                      1
delight                          10
delighted                        5
delightedly                      4
delightful                       7
delightfully                     1
delightfulness                   1
delights                         1
delphiniums                      1
demand                           1
demanded                         8
den                              1
dense                            1
denying                          1
depends                          1
derivative                       3
derive                           1
derived                          2
dervishes                        1
descended                        1
describe                         1
described                        3
describing                       1
descriptions                     1
desert                           1
deserted                         4
deserve                          1
desire                           2
desired                          1
desolate                         2
desolation                       1
desperation                      1
despite                          1
destroy                          2
detach                           1
detail                           1
details                          2
determination                    2
determine                        1
determined                       4
determinedly                     1
detestation                      1
detested                         2
develop                          1
devote                           1
devotees                         1
devour                           1
devoured                         1
devouring                        1
dew-bright                       2
dewdrop                          2
dialect                          2
dialects                         1
diamonds                         2
dickon                           277
dickon-after                     1
dickon-and                       1
dickon-extremely                 1
dickons                          31
dictated                         1
did                              287
didna                            1
didnt                            42
didnt-she                        1
die                              28
died                             20
difference                       1
different                        38
difficult                        2
difficulties                     1
difficulty                       3
dig                              14
digestion                        1
digger                           1
diggin                           5
digging                          14
dignified                        1
dignity                          2
dim                              2
dimly                            2
diners                           1
dining-room                      1
dinner                           13
dinners                          1
dip                              1
direct                           2
directed                         1
directly                         1
dirt                             1
disagree                         1
disagreeable                     10
disagreeable-looking             1
disagreed                        1
disagrees                        1
disappeared                      2
disappoint                       1
disappointed                     3
disappointedly                   1
